"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","10 to 49",NA,5,10,10,NA,30
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Professional, Scientific & Technical","All",205,180,20,20,NA,425
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","0",70,15,NA,NA,NA,85
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","1 to 9",40,75,15,5,NA,135
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","10 to 49",NA,10,NA,5,NA,20
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Business Administration and Support Services","All",110,100,20,15,5,250
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","0",NA,NA,NA,NA,NA,NA
