"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2016,"Mid Ulster","Production","10 to 49",NA,5,25,70,15,120
"Number of Businesses",2016,"Mid Ulster","Production","50 to 249",NA,NA,NA,NA,35,40
"Number of Businesses",2016,"Mid Ulster","Production","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Mid Ulster","Production","All",225,255,85,100,60,730
"Number of Businesses",2016,"Mid Ulster","Construction","0",320,80,NA,NA,NA,410
"Number of Businesses",2016,"Mid Ulster","Construction","1 to 9",315,390,80,65,5,860
"Number of Businesses",2016,"Mid Ulster","Construction","10 to 49",NA,NA,10,40,15,65
"Number of Businesses",2016,"Mid Ulster","Construction","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Mid Ulster","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Construction","All",640,470,90,105,30,1340
"Number of Businesses",2016,"Mid Ulster","Motor Trades","0",50,20,10,NA,NA,80
"Number of Businesses",2016,"Mid Ulster","Motor Trades","1 to 9",45,100,20,25,NA,185
"Number of Businesses",2016,"Mid Ulster","Motor Trades","10 to 49",NA,NA,NA,5,10,20
"Number of Businesses",2016,"Mid Ulster","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Motor Trades","All",90,120,30,35,15,290
"Number of Businesses",2016,"Mid Ulster","Wholesale","0",40,25,NA,NA,NA,70
"Number of Businesses",2016,"Mid Ulster","Wholesale","1 to 9",35,80,30,55,5,200
"Number of Businesses",2016,"Mid Ulster","Wholesale","10 to 49",NA,NA,NA,20,15,35
"Number of Businesses",2016,"Mid Ulster","Wholesale","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Mid Ulster","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Wholesale","All",70,105,35,80,30,315
"Number of Businesses",2016,"Mid Ulster","Retail","0",50,30,NA,NA,NA,85
"Number of Businesses",2016,"Mid Ulster","Retail","1 to 9",70,195,70,40,NA,380
"Number of Businesses",2016,"Mid Ulster","Retail","10 to 49",NA,NA,15,50,NA,70
"Number of Businesses",2016,"Mid Ulster","Retail","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2016,"Mid Ulster","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Retail","All",120,230,85,95,20,550
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","0",60,30,NA,NA,NA,95
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","1 to 9",45,85,25,10,NA,165
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","10 to 49",NA,NA,5,10,NA,20
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Transport & Storage (inc Postal)","All",110,120,30,20,NA,280
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","0",10,10,NA,NA,NA,20
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","1 to 9",75,120,5,NA,NA,205
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","10 to 49",NA,25,15,10,NA,50
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Accommodation & Food Services","All",90,150,25,15,NA,280
"Number of Businesses",2016,"Mid Ulster","Information & Communication","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Information & Communication","1 to 9",45,20,NA,NA,NA,70
"Number of Businesses",2016,"Mid Ulster","Information & Communication","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2016,"Mid Ulster","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Information & Communication","All",50,20,NA,10,NA,80
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","0",15,NA,NA,NA,NA,20
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","1 to 9",5,25,10,NA,NA,50
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Finance & Insurance","All",25,30,15,5,NA,70
"Number of Businesses",2016,"Mid Ulster","Property","0",50,10,NA,NA,NA,55
"Number of Businesses",2016,"Mid Ulster","Property","1 to 9",55,40,NA,NA,NA,110
"Number of Businesses",2016,"Mid Ulster","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Property","All",105,50,NA,5,NA,165
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","0",30,15,NA,NA,NA,45
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","1 to 9",105,155,15,NA,NA,280
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","10 to 49",NA,5,10,5,NA,20
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Professional, Scientific & Technical","All",135,175,20,10,NA,350
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","0",55,10,NA,NA,NA,65
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","1 to 9",45,65,10,NA,NA,125
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Business Administration and Support Services","All",100,80,10,5,NA,200
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Education","1 to 9",10,20,NA,NA,NA,30
"Number of Businesses",2016,"Mid Ulster","Education","10 to 49",NA,NA,5,NA,NA,10
"Number of Businesses",2016,"Mid Ulster","Education","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2016,"Mid Ulster","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Education","All",10,20,5,10,NA,45
"Number of Businesses",2016,"Mid Ulster","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Health","1 to 9",30,95,15,NA,NA,135
"Number of Businesses",2016,"Mid Ulster","Health","10 to 49",5,NA,25,15,NA,50
"Number of Businesses",2016,"Mid Ulster","Health","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2016,"Mid Ulster","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Health","All",35,95,40,20,NA,195
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","0",15,NA,NA,NA,NA,20
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","1 to 9",170,80,NA,NA,NA,255
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,5,5,NA,NA,15
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Arts, Entertainment, Recreation and Other Services","All",190,90,5,5,NA,290
"Number of Businesses",2016,"Mid Ulster","All Industries","0",2910,565,20,10,NA,3505
"Number of Businesses",2016,"Mid Ulster","All Industries","1 to 9",1300,2070,440,270,25,4105
"Number of Businesses",2016,"Mid Ulster","All Industries","10 to 49",20,55,130,250,65,520
"Number of Businesses",2016,"Mid Ulster","All Industries","50 to 249",NA,NA,NA,30,75,110
"Number of Businesses",2016,"Mid Ulster","All Industries","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Mid Ulster","All Industries","All",4230,2690,590,560,175,8250
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","0",1600,180,NA,NA,NA,1780
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","1 to 9",75,285,40,10,NA,415
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","10 to 49",NA,NA,5,NA,NA,10
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Agriculture, Forestry & Fishing","All",1675,470,45,20,NA,2210
"Number of Businesses",2016,"Newry, Mourne and Down","Production","0",40,25,NA,NA,NA,65
"Number of Businesses",2016,"Newry, Mourne and Down","Production","1 to 9",130,170,30,20,NA,350
"Number of Businesses",2016,"Newry, Mourne and Down","Production","10 to 49",NA,5,15,40,15,75
"Number of Businesses",2016,"Newry, Mourne and Down","Production","50 to 249",NA,NA,NA,NA,10,15
"Number of Businesses",2016,"Newry, Mourne and Down","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Production","All",175,195,45,60,30,505
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","0",285,85,NA,NA,NA,375
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","1 to 9",325,410,55,40,NA,835
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","10 to 49",NA,5,15,25,15,55
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Construction","All",610,500,75,65,20,1270
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","0",40,20,NA,NA,NA,65
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","1 to 9",30,110,20,20,NA,180
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","10 to 49",NA,NA,NA,15,NA,20
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Motor Trades","All",75,125,25,35,5,265
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","0",30,30,NA,NA,NA,60
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","1 to 9",60,80,50,70,10,265
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","10 to 49",NA,NA,NA,15,5,25
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Wholesale","All",90,110,50,90,25,360
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","0",50,35,NA,NA,NA,90
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","1 to 9",85,275,75,30,NA,470
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","10 to 49",NA,10,25,65,5,105
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Retail","All",135,320,105,100,20,680
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","0",50,30,NA,NA,NA,85
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","1 to 9",50,115,20,10,NA,195
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","10 to 49",NA,5,NA,5,5,20
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Transport & Storage (inc Postal)","All",100,155,25,15,10,305
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","0",10,10,NA,NA,NA,25
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","1 to 9",95,175,15,NA,NA,285
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","10 to 49",NA,40,25,15,NA,80
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Accommodation & Food Services","All",110,220,45,25,NA,400
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","0",10,NA,NA,NA,NA,10
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","1 to 9",65,55,NA,NA,NA,125
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Information & Communication","All",75,60,NA,5,NA,145
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","0",25,NA,NA,NA,NA,25
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","1 to 9",15,30,15,NA,NA,60
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Finance & Insurance","All",35,30,15,10,NA,90
"Number of Businesses",2016,"Newry, Mourne and Down","Property","0",55,5,NA,NA,NA,60
"Number of Businesses",2016,"Newry, Mourne and Down","Property","1 to 9",50,40,NA,NA,NA,95
"Number of Businesses",2016,"Newry, Mourne and Down","Property","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Newry, Mourne and Down","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Property","All",105,50,5,5,NA,165
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","0",45,15,NA,NA,NA,60
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","1 to 9",155,205,15,5,NA,385
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","10 to 49",NA,10,15,10,NA,35
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Professional, Scientific & Technical","All",200,230,30,20,NA,480
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","0",45,5,NA,NA,NA,50
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","1 to 9",50,105,15,NA,NA,175
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Business Administration and Support Services","All",95,110,20,10,NA,240
"Number of Businesses",2016,"Newry, Mourne and Down","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Newry, Mourne and Down","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
