"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Total Units","2018Q4","Belfast","Outwards",0,0,0,15.91942285,70.79384332,32.77668192,119.4899481
"Total Units","2018Q4","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q4","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q4","Larne","Inwards",0,0,0,0,26.25844195,13.837,40.09544195
"Total Units","2018Q4","Larne","Outwards",0,0,0,0,24.617,11.987,36.604
"Total Units","2018Q4","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2018Q4","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2018Q4","Warrenpoint","Inwards",0,0,0,1.786506665,12.67432542,2.554070867,17.01490296
"Total Units","2018Q4","Warrenpoint","Outwards",0,0,0,1.690485719,14.33429914,0.281408687,16.30619354
"Total Units","2019Q1","Belfast","Inwards",0,0,0,16.6510259,67.457,36.477,120.5850259
"Total Units","2019Q1","Belfast","Outwards",0,0,0,15.96345212,69.76915183,27.31316326,113.0457672
"Total Units","2019Q1","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q1","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q1","Larne","Inwards",0,0,0,0,25.397,10.615,36.012
"Total Units","2019Q1","Larne","Outwards",0,0,0,0,23.84846481,10.060167,33.90863181
"Total Units","2019Q1","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q1","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q1","Warrenpoint","Inwards",0,0,0,2.004727818,13.69147291,5.46400092,21.16020165
"Total Units","2019Q1","Warrenpoint","Outwards",0,0,0,1.806610291,13.23288903,0.326,15.36549932
"Total Units","2019Q2","Belfast","Inwards",0,0,0,15.99721837,71.301,59.259,146.5572184
"Total Units","2019Q2","Belfast","Outwards",0,0,0,16.62138666,72.32291235,44.1145166,133.0588156
"Total Units","2019Q2","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q2","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q2","Larne","Inwards",0,0,0,0,24.979,18.861,43.84
"Total Units","2019Q2","Larne","Outwards",0,0,0,0,23.40149376,17.2542866,40.65578036
"Total Units","2019Q2","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q2","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q2","Warrenpoint","Inwards",0,0,0,2.896364773,13.87298552,3.86299908,20.63234937
"Total Units","2019Q2","Warrenpoint","Outwards",0,0,0,2.984668605,13.27707613,0.058358025,16.32010276
"Total Units","2019Q3","Belfast","Inwards",0,0,0,16.8562814,72.129,71.005,159.9902814
"Total Units","2019Q3","Belfast","Outwards",0,0,0,17.0074421,73.61942227,58.00299984,148.6298642
"Total Units","2019Q3","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q3","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
