"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Percentage of school leavers","2016/17","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.1,65.9,53.8
"Percentage of school leavers","2016/17","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",40.8,71.4,59.7
"Percentage of school leavers","2016/17","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",70.4,90.1,82.6
"Percentage of school leavers","2016/17","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.5,75.6,63.3
"Percentage of school leavers","2016/17","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",22,45.2,39.2
"Percentage of school leavers","2016/17","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",30.9,58.2,51.1
"Percentage of school leavers","2016/17","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",34.2,61.1,54.1
"Percentage of school leavers","2016/17","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",71.3,90.7,85.6
"Percentage of school leavers","2016/17","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",42.2,76,67.2
"Percentage of school leavers","2016/17","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",26.3,48,39.6
"Percentage of school leavers","2016/17","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",40.7,62.9,54.3
"Percentage of school leavers","2016/17","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",45.2,66.8,58.4
"Percentage of school leavers","2016/17","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",70.8,89.6,82.3
"Percentage of school leavers","2016/17","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.4,79.4,69.3
"Percentage of school leavers","2016/17","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",26.4,50.7,44.1
"Percentage of school leavers","2016/17","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",38.6,65.4,58.2
"Percentage of school leavers","2016/17","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42.9,70.4,63
"Percentage of school leavers","2016/17","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",73.6,90.3,85.8
"Percentage of school leavers","2016/17","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",53.8,78,71.4
"Percentage of school leavers","2016/17","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.7,50.6,47.3
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.1,65.3,61.1
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.4,67.4,63.3
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",71.5,92,89.3
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",50.9,81.8,77.6
"Percentage of school leavers","2016/17","Lisburn and Castlereagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",17.9,45.5,39.9
"Percentage of school leavers","2016/17","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",28.4,60.3,53.8
"Percentage of school leavers","2016/17","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",32.8,64.2,57.7
"Percentage of school leavers","2016/17","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",63.3,89.1,83.8
"Percentage of school leavers","2016/17","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",42.5,78.1,70.8
"Percentage of school leavers","2016/17","Mid and East Antrim","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",25.8,44.5,39.8
"Percentage of school leavers","2016/17","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36.9,58.8,53.3
"Percentage of school leavers","2016/17","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",41.7,64,58.4
"Percentage of school leavers","2016/17","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",74,89.8,85.9
"Percentage of school leavers","2016/17","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54.1,76.9,71.2
"Percentage of school leavers","2016/17","Mid Ulster","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",22.8,46.8,40.6
"Percentage of school leavers","2016/17","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.9,60.6,53.7
"Percentage of school leavers","2016/17","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.8,65.2,57.8
"Percentage of school leavers","2016/17","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",65.3,86.2,80.7
"Percentage of school leavers","2016/17","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",46.2,76.4,68.5
"Percentage of school leavers","2016/17","Newry, Mourne and Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19.6,49.3,44.2
"Percentage of school leavers","2016/17","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",30.4,65.6,59.7
"Percentage of school leavers","2016/17","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",36.4,69.9,64.2
"Percentage of school leavers","2016/17","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",72,90,86.9
"Percentage of school leavers","2016/17","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",49.7,79.2,74.2
"Percentage of school leavers","2016/17","Ards and North Down","Total leavers",NA,NA,NA
"Percentage of school leavers","2016/17","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",22.7,47.1,40.7
"Percentage of school leavers","2016/17","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",33.5,61.7,54.3
"Percentage of school leavers","2016/17","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.1,65.7,58.5
"Percentage of school leavers","2016/17","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",69,89.1,83.8
"Percentage of school leavers","2016/17","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47.5,77.4,69.6
"Percentage of school leavers","2016/17","Northern Ireland","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.1,46.2,41.3
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",28.9,59.6,53.8
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",31.3,62.1,56.3
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",66,86.9,83
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43.5,75.8,69.7
"Percentage of school leavers","2017/18","Antrim and Newtownabbey","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",15,41.2,34.5
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",24.5,53,45.7
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",27.2,56.5,49
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",64.1,85.4,79.9
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44,75.2,67.2
"Percentage of school leavers","2017/18","Armagh City, Banbridge and Craigavon","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.7,51,40.4
"Percentage of school leavers","2017/18","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32.4,65.7,53.7
"Percentage of school leavers","2017/18","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",37.4,69.8,58.1
"Percentage of school leavers","2017/18","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",72.4,90.7,84.1
"Percentage of school leavers","2017/18","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",44.2,77.5,65.5
"Percentage of school leavers","2017/18","Belfast","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",20.4,41.6,36.5
"Percentage of school leavers","2017/18","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",27,53.5,47.1
"Percentage of school leavers","2017/18","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",29.9,55.3,49.1
"Percentage of school leavers","2017/18","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",79.6,91,88.3
"Percentage of school leavers","2017/18","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",46.9,78.1,70.6
"Percentage of school leavers","2017/18","Causeway Coast and Glens","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",24.2,43.4,35.9
"Percentage of school leavers","2017/18","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",38.9,62.3,53.2
"Percentage of school leavers","2017/18","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",43.5,65.7,57
"Percentage of school leavers","2017/18","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",76.6,88.8,84.1
"Percentage of school leavers","2017/18","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",56.9,78.3,70
"Percentage of school leavers","2017/18","Derry City and Strabane","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",28.5,50.1,44.4
"Percentage of school leavers","2017/18","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",39.7,63,56.9
"Percentage of school leavers","2017/18","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",44.5,65.9,60.3
"Percentage of school leavers","2017/18","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75.7,91.5,87.3
"Percentage of school leavers","2017/18","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",56.4,80,73.8
"Percentage of school leavers","2017/18","Fermanagh and Omagh","Total leavers",NA,NA,NA
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",21.2,53.3,48.4
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",34.7,67.8,62.8
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38.6,69.7,65
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",75.4,91.7,89.3
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",50.4,82.9,78
"Percentage of school leavers","2017/18","Lisburn and Castlereagh","Total leavers",NA,NA,NA
