"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2013/14","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",23,588,611
"Number of school leavers","2013/14","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",36,872,908
"Number of school leavers","2013/14","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",42,962,1004
"Number of school leavers","2013/14","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",87,1269,1356
"Number of school leavers","2013/14","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",54,1092,1146
"Number of school leavers","2013/14","Ards and North Down","Total leavers",183,1587,1770
"Number of school leavers","2013/14","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",672,7702,8374
"Number of school leavers","2013/14","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1054,10438,11492
"Number of school leavers","2013/14","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",1258,11345,12603
"Number of school leavers","2013/14","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",2294,15499,17793
"Number of school leavers","2013/14","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",1413,12960,14373
"Number of school leavers","2013/14","Northern Ireland","Total leavers",4054,18582,22636
"Number of school leavers","2014/15","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",33,540,573
"Number of school leavers","2014/15","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",51,748,799
"Number of school leavers","2014/15","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",63,813,876
"Number of school leavers","2014/15","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",136,1149,1285
